Time (s),Force (N),CO2 Mass (Mco2),Drag (FD),
8.3827,0.024300814,29.85,0.243,
8.3844,-0.006094277,29.85,0.243,
8.3861,-0.066884458,29.85,0.243,
8.3878,-0.097279549,29.85,0.243,
8.3895,-0.097279549,29.85,0.243,
8.3912,-0.12767464,29.85,0.243,
8.3929,-0.12767464,29.85,0.243,
8.3946,-0.158069731,29.85,0.243,
8.3963,-0.188464822,29.85,0.243,
8.398,-0.218859913,29.85,0.243,
8.3997,0,29.85,0.243,
8.4014,0,29.85,0.243,
8.4031,0,29.85,0.243,
8.4048,0,29.85,0.243,
8.4065,0,29.85,0.243,
8.4082,0,29.85,0.243,
8.4099,0,29.85,0.243,
8.4116,0,29.85,0.243,
8.4133,0,29.85,0.243,
8.415,0,29.85,0.243,
8.4167,0,29.85,0.243,
8.4184,0,29.85,0.243,
8.4201,0,29.85,0.243,
8.4218,0,29.85,0.243,
8.4235,0,29.85,0.243,
8.4252,0,29.85,0.243,
8.4269,0,29.85,0.243,
8.4286,0,29.85,0.243,
8.4303,0,29.85,0.243,
8.432,0,29.85,0.243,
8.4337,0,29.85,0.243,
8.4354,0,29.85,0.243,
8.4371,0,29.85,0.243,
8.4388,0,29.85,0.243,
8.4405,0,29.85,0.243,
8.4422,0,29.85,0.243,
8.4439,0,29.85,0.243,
8.4456,0,29.85,0.243,
8.4473,0,29.85,0.243,
8.449,0,29.85,0.243,
8.4507,0,29.85,0.243,
8.4524,0,29.85,0.243,
8.4541,0,29.85,0.243,
8.4558,0,29.85,0.243,
8.4575,0,29.85,0.243,
8.4592,0,29.85,0.243,
8.4609,0,29.85,0.243,
8.4626,0,29.85,0.243,
8.4643,0,29.85,0.243,
8.466,0,29.85,0.243,
8.4677,0,29.85,0.243,
8.4694,0,29.85,0.243,
8.4711,0,29.85,0.243,
8.4728,0,29.85,0.243,
8.4745,0,29.85,0.243,
8.4762,0,29.85,0.243,
8.4779,0,29.85,0.243,
8.4796,0,29.85,0.243,
8.4813,0,29.85,0.243,
8.483,0,29.85,0.243,
8.4847,0,29.85,0.243,
8.4864,0,29.85,0.243,
8.4881,0,29.85,0.243,
8.4898,0,29.85,0.243,
8.4915,0,29.85,0.243,
8.4932,0,29.85,0.243,
8.4949,0,29.85,0.243,
8.4966,0,29.85,0.243,
8.4983,0,29.85,0.243,
8.5,0,29.85,0.243,
8.5017,0,29.85,0.243,
8.5034,0,29.85,0.243,
8.5051,0,29.85,0.243,
8.5068,0,29.85,0.243,
8.5085,0,29.85,0.243,
8.5102,0,29.85,0.243,
8.5119,0,29.85,0.243,
8.5136,0,29.85,0.243,
8.5153,0,29.85,0.243,
8.517,0,29.85,0.243,
8.5187,0,29.85,0.243,
8.5204,0,29.85,0.243,
8.5221,0,29.85,0.243,
8.5238,0,29.85,0.243,
8.5255,0,29.85,0.243,
8.5272,0,29.85,0.243,
8.5289,0,29.85,0.243,
8.5306,0,29.85,0.243,
8.5323,0,29.85,0.243,
8.534,0,29.85,0.243,
8.5357,0,29.85,0.243,
8.5374,0,29.85,0.243,
8.5391,0,29.85,0.243,
8.5408,0,29.85,0.243,
8.5425,0,29.85,0.243,
8.5442,0,29.85,0.243,
8.5459,0,29.85,0.243,
8.5476,0,29.85,0.243,
8.5493,0,29.85,0.243,
8.551,0,29.85,0.243,
8.5527,0,29.85,0.243,
8.5544,0,29.85,0.243,
8.5561,0,29.85,0.243,
8.5578,0,29.85,0.243,
8.5595,0,29.85,0.243,
8.5612,0,29.85,0.243,
8.5629,0,29.85,0.243,
8.5646,0,29.85,0.243,
8.5663,0,29.85,0.243,
8.568,0,29.85,0.243,
8.5697,0,29.85,0.243,
8.5714,0,29.85,0.243,
8.5731,0,29.85,0.243,
8.5748,0,29.85,0.243,
8.5765,0,29.85,0.243,
8.5782,0,29.85,0.243,
8.5799,0,29.85,0.243,
8.5816,0,29.85,0.243,
8.5833,0,29.85,0.243,
8.585,0,29.85,0.243,
8.5867,0,29.85,0.243,
8.5884,0,29.85,0.243,
8.5901,0,29.85,0.243,
8.5918,0,29.85,0.243,
8.5935,0,29.85,0.243,
8.5952,0,29.85,0.243,
8.5969,0,29.85,0.243,
8.5986,0,29.85,0.243,
8.6003,0,29.85,0.243,
8.602,0,29.85,0.243,
8.6037,0,29.85,0.243,
8.6054,0,29.85,0.243,
8.6071,0,29.85,0.243,
8.6088,0,29.85,0.243,
8.6105,0,29.85,0.243,
8.6122,0,29.85,0.243,
8.6139,0,29.85,0.243,
8.6156,0,29.85,0.243,
8.6173,0,29.85,0.243,
8.619,0,29.85,0.243,
8.6207,0,29.85,0.243,
8.6224,0,29.85,0.243,
8.6241,0,29.85,0.243,
8.6258,0,29.85,0.243,
8.6275,0,29.85,0.243,
8.6292,0,29.85,0.243,
8.6309,0,29.85,0.243,
8.6326,0,29.85,0.243,
8.6343,0,29.85,0.243,
8.636,0,29.85,0.243,
8.6377,0,29.85,0.243,
8.6394,0,29.85,0.243,
8.6411,0,29.85,0.243,
8.6428,0,29.85,0.243,
8.6445,0,29.85,0.243,
8.6462,0,29.85,0.243,
8.6479,0,29.85,0.243,
8.6496,0,29.85,0.243,
8.6513,0,29.85,0.243,
8.653,0,29.85,0.243,
8.6547,0,29.85,0.243,
8.6564,0,29.85,0.243,
8.6581,0,29.85,0.243,
8.6598,0,29.85,0.243,
8.6615,0,29.85,0.243,
8.6632,0,29.85,0.243,
8.6649,0,29.85,0.243,
8.6666,0,29.85,0.243,
8.6683,0,29.85,0.243,
8.67,0,29.85,0.243,
8.6717,0,29.85,0.243,
8.6734,0,29.85,0.243,
8.6751,0,29.85,0.243,
8.6768,0,29.85,0.243,
8.6785,0,29.85,0.243,
8.6802,0,29.85,0.243,
8.6819,0,29.85,0.243,
8.6836,0,29.85,0.243,
8.6853,0,29.85,0.243,
8.687,0,29.85,0.243,
8.6887,0,29.85,0.243,
8.6904,0,29.85,0.243,
8.6921,0,29.85,0.243,
8.6938,0,29.85,0.243,
8.6955,0,29.85,0.243,
8.6972,0,29.85,0.243,
8.6989,0,29.85,0.243,
8.7006,0,29.85,0.243,
8.7023,0,29.85,0.243,
8.704,0,29.85,0.243,
8.7057,0,29.85,0.243,
8.7074,0,29.85,0.243,
8.7091,0,29.85,0.243,
8.7108,0,29.85,0.243,
8.7125,0,29.85,0.243,
8.7142,0,29.85,0.243,
8.7159,0,29.85,0.243,
8.7176,0,29.85,0.243,
8.7193,0,29.85,0.243,
8.721,0,29.85,0.243,
8.7227,0,29.85,0.243,
8.7244,0,29.85,0.243,
8.7261,0,29.85,0.243,
8.7278,0,29.85,0.243,
8.7295,0,29.85,0.243,
8.7312,0,29.85,0.243,
8.7329,0,29.85,0.243,
8.7346,0,29.85,0.243,
8.7363,0,29.85,0.243,
8.738,0,29.85,0.243,
